pair_id,sequence_length_a,sequence_length_b,max_local_alignment_score
540,256,256,123
541,256,256,107
542,256,256,112
543,256,256,112
544,256,256,112
545,256,256,116
546,256,256,108
547,256,256,112
548,256,256,103
549,256,256,103
550,256,256,117
551,256,256,123
552,256,256,131
553,256,256,117
554,256,256,101
555,256,256,115
556,256,256,131
557,256,256,115
558,256,256,120
559,256,256,112
560,256,256,112
561,256,256,97
562,256,256,106
563,256,256,112
564,256,256,122
565,256,256,113
566,256,256,121
567,256,256,110
568,256,256,107
569,256,256,130
570,256,256,127
571,256,256,105
572,256,256,127
573,256,256,111
574,256,256,110
575,256,256,115
576,256,256,114
577,256,256,112
578,256,256,122
579,256,256,125
580,256,256,123
581,256,256,95
582,256,256,101
583,256,256,114
584,256,256,121
585,256,256,119
586,256,256,106
587,256,256,112
588,256,256,128
589,256,256,110
590,256,256,119
591,256,256,111
592,256,256,121
593,256,256,125
594,256,256,113
595,256,256,121
596,256,256,128
597,256,256,132
598,256,256,118
599,256,256,111
600,256,256,113
601,256,256,110
602,256,256,107
603,256,256,111
604,256,256,106
605,256,256,96
606,256,256,117
607,256,256,117
608,256,256,97
609,256,256,110
610,256,256,123
611,256,256,128
612,256,256,123
613,256,256,110
614,256,256,93
615,256,256,141
616,256,256,97
617,256,256,114
618,256,256,114
619,256,256,134
620,256,256,107
621,256,256,142
622,256,256,123
623,256,256,114
624,256,256,107
625,256,256,116
626,256,256,121
627,256,256,107
628,256,256,118
629,256,256,107
630,256,256,115
631,256,256,119
632,256,256,110
633,256,256,113
634,256,256,118
635,256,256,118
636,256,256,105
637,256,256,111
638,256,256,117
639,256,256,119
640,256,256,99
641,256,256,99
642,256,256,108
643,256,256,112
644,256,256,134
645,256,256,115
646,256,256,119
647,256,256,134
648,256,256,117
649,256,256,119
650,256,256,106
651,256,256,118
652,256,256,133
653,256,256,120
654,256,256,117
655,256,256,117
656,256,256,137
657,256,256,115
658,256,256,130
659,256,256,120
660,256,256,111
661,256,256,105
662,256,256,120
663,256,256,123
664,256,256,108
665,256,256,110
666,256,256,127
667,256,256,124
668,256,256,113
669,256,256,112
670,256,256,117
671,256,256,108
672,256,256,124
673,256,256,115
674,256,256,112
675,256,256,111
676,256,256,116
677,256,256,117
678,256,256,113
679,256,256,101
680,256,256,106
681,256,256,105
682,256,256,124
683,256,256,107
684,256,256,120
685,256,256,113
686,256,256,112
687,256,256,100
688,256,256,128
689,256,256,138
690,256,256,118
691,256,256,98
692,256,256,138
693,256,256,119
694,256,256,107
695,256,256,108
696,256,256,106
697,256,256,105
698,256,256,109
699,256,256,111
700,256,256,109
701,256,256,120
702,256,256,109
703,256,256,127
704,256,256,107
705,256,256,110
706,256,256,111
707,256,256,115
708,256,256,122
709,256,256,112
710,256,256,102
711,256,256,114
712,256,256,128
713,256,256,108
714,256,256,138
715,256,256,123
716,256,256,118
717,256,256,110
718,256,256,124
719,256,256,108
720,256,256,114
721,256,256,105
722,256,256,123
723,256,256,113
724,256,256,114
725,256,256,113
726,256,256,101
727,256,256,117
728,256,256,110
729,256,256,134
730,256,256,111
731,256,256,108
732,256,256,106
733,256,256,112
734,256,256,101
735,256,256,121
736,256,256,109
737,256,256,107
738,256,256,107
739,256,256,118
740,256,256,121
741,256,256,109
742,256,256,109
743,256,256,132
744,256,256,114
745,256,256,112
746,256,256,110
747,256,256,122
748,256,256,103
749,256,256,115
750,256,256,105
751,256,256,117
752,256,256,114
753,256,256,112
754,256,256,117
755,256,256,117
756,256,256,115
757,256,256,112
758,256,256,119
759,256,256,111
760,256,256,118
761,256,256,109
762,256,256,113
763,256,256,132
764,256,256,129
765,256,256,119
766,256,256,114
767,256,256,105
768,256,256,118
769,256,256,109
770,256,256,116
771,256,256,116
772,256,256,115
773,256,256,110
774,256,256,129
775,256,256,118
776,256,256,118
777,256,256,106
778,256,256,128
779,256,256,122
780,256,256,120
781,256,256,108
782,256,256,121
783,256,256,119
784,256,256,113
785,256,256,114
786,256,256,123
787,256,256,119
788,256,256,108
789,256,256,100
790,256,256,116
791,256,256,111
792,256,256,103
793,256,256,109
794,256,256,102
795,256,256,106
796,256,256,118
797,256,256,111
798,256,256,101
799,256,256,113
800,256,256,119
801,256,256,114
802,256,256,104
803,256,256,108
804,256,256,100
805,256,256,112
806,256,256,126
807,256,256,105
808,256,256,116
809,256,256,108
810,256,256,116
811,256,256,111
812,256,256,120
813,256,256,112
814,256,256,100
815,256,256,131
816,256,256,119
817,256,256,135
818,256,256,132
819,256,256,105
820,256,256,106
821,256,256,109
822,256,256,115
823,256,256,112
824,256,256,103
825,256,256,110
826,256,256,112
827,256,256,111
828,256,256,112
829,256,256,113
830,256,256,108
831,256,256,109
832,256,256,108
833,256,256,115
834,256,256,118
835,256,256,110
836,256,256,111
837,256,256,110
838,256,256,102
839,256,256,107
840,256,256,123
841,256,256,127
842,256,256,133
843,256,256,117
844,256,256,114
845,256,256,110
846,256,256,105
847,256,256,122
848,256,256,114
849,256,256,131
850,256,256,128
851,256,256,105
852,256,256,107
853,256,256,127
854,256,256,113
855,256,256,104
856,256,256,114
857,256,256,109
858,256,256,124
859,256,256,135
860,256,256,112
861,256,256,101
862,256,256,97
863,256,256,95
864,256,256,130
865,256,256,125
866,256,256,132
867,256,256,112
868,256,256,103
869,256,256,101
870,256,256,125
871,256,256,104
872,256,256,110
873,256,256,124
874,256,256,110
875,256,256,106
876,256,256,132
877,256,256,127
878,256,256,112
879,256,256,113
880,256,256,122
881,256,256,110
882,256,256,115
883,256,256,130
884,256,256,128
885,256,256,110
886,256,256,124
887,256,256,112
888,256,256,131
889,256,256,124
890,256,256,115
891,256,256,119
892,256,256,118
893,256,256,118
894,256,256,108
895,256,256,104
896,256,256,112
897,256,256,113
898,256,256,105
899,256,256,123
900,256,256,111
901,256,256,125
902,256,256,123
903,256,256,106
904,256,256,126
905,256,256,116
906,256,256,123
907,256,256,106
908,256,256,113
909,256,256,123
910,256,256,124
911,256,256,125
912,256,256,125
913,256,256,122
914,256,256,116
915,256,256,108
916,256,256,123
917,256,256,112
918,256,256,115
919,256,256,104
920,256,256,115
921,256,256,133
922,256,256,108
923,256,256,106
924,256,256,125
925,256,256,108
926,256,256,115
927,256,256,116
928,256,256,121
929,256,256,110
930,256,256,108
931,256,256,108
932,256,256,112
933,256,256,109
934,256,256,136
935,256,256,124
936,256,256,104
937,256,256,111
938,256,256,119
939,256,256,107
940,256,256,129
941,256,256,103
942,256,256,111
943,256,256,126
944,256,256,120
945,256,256,108
946,256,256,120
947,256,256,123
948,256,256,112
949,256,256,102
950,256,256,106
951,256,256,119
952,256,256,117
953,256,256,112
954,256,256,117
955,256,256,107
956,256,256,124
957,256,256,104
958,256,256,119
959,256,256,119
960,256,256,118
961,256,256,109
962,256,256,136
963,256,256,108
964,256,256,111
965,256,256,111
966,256,256,106
967,256,256,109
968,256,256,128
969,256,256,106
970,256,256,135
971,256,256,118
972,256,256,119
973,256,256,110
974,256,256,115
975,256,256,110
976,256,256,117
977,256,256,129
978,256,256,115
979,256,256,116
980,256,256,115
981,256,256,111
982,256,256,121
983,256,256,101
984,256,256,110
985,256,256,106
986,256,256,100
987,256,256,100
988,256,256,112
989,256,256,110
990,256,256,114
991,256,256,117
992,256,256,110
993,256,256,115
994,256,256,118
995,256,256,116
996,256,256,116
997,256,256,108
998,256,256,106
999,256,256,107
